1,12503,cause,noun,"a person or thing that gives rise to an action, phenomenon, or condition. "
4,12506,reason,noun,"a cause, explanation, or justification."
21,12523,result,noun,the outcome of an occurance
30,12532,consequence,noun,a situation or entity that results from some event
38,12540,legacy,noun,"in this frame, simply a metaphorical term for a result."
40,12542,speech,noun,the faculty of speech
43,12545,communication [act],noun,the action of communicating.
44,12546,communication [entity],noun,a letter or message containing information or news.
45,12547,contact,noun,a communication or relationship.
46,12548,codeword,noun,A word or phrase to protect secrecy.  
47,12549,password,noun, secret word or phrase used to gain admission to something.
74,12576,clone,noun,a person or thing regarded as identical with another; a copy or double. 
75,12577,copy,noun,a thing made to be similar or identical to another. 
77,12579,duplicate,noun,one of two or more identical things. 
79,12581,photocopy,noun,a photographic copy of something produced by a process involving the action of light on a specially prepared surface. 
84,12586,replica,noun,"an exact copy or model of something, especially one on a smaller scale. "
85,12587,duplication,noun,the fact of making an exact copy
119,12621,merger,noun,"The act of combining two or more entities into one. ""Chuck' s merger of the corpora won him an award."""
120,12622,combination,noun,"The act of combining, or the result of agentive combining."
130,12632,partition,noun,the action or state of dividing or being divided into parts.
170,12672,curtsy,noun,a woman' s or girl' s formal greeting made by bending the knees with one foot in front of the other.
193,12695,wink,noun,the act of closing one eye and quickly reopening it
218,12720,stroke,noun, move one' s hand with gentle pressure over (a surface).
221,12723,pull,noun,an act of pulling something.
226,12728,caress,noun,a gentle or loving touch.
232,12734,kiss,noun,"Touch or caress with the lips as a sign of love, care, or greeting"
254,12756,posture,noun,a particular position of the body.
255,12757,stance,noun,"the way in which someone stands, especially when deliberately adopted."
256,12758,position,noun,a way in which someone or something is placed or arranged.
260,12762,awareness,noun,awareness is a derivative of aware
263,12765,comprehension,noun,the action or capability of understanding.
265,12767,conception,noun, the way in which something is perceived
267,12769,hunch,noun,a feeling or guess based on intuition.
270,12772,knowledge,noun,"familiarity with, awareness of facts and ideas acquired through experience or study"
273,12775,presumption,noun,an act or instance of presuming something to be the case.
275,12777,supposition,noun,an assumption or hypothesis.
277,12779,suspicion,noun,a feeling that something is possible or probable or that someone is guilty of a crime or offence.
